,Date,Team,name,Notes,year_start,year_end,position,height,weight,birth_date,college,Strains/Sprains,Dislocations,Arm Fractures,Leg Fractures,Injury Type,Estimated Medical Costs (2012)
0,10/03/10,Bulls,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2003,2015,F-C,9-Jun,258,20-Nov-81,Duke University,FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
1,10/08/10,Blazers,Jeff Ayres,torn ACL in right knee (out indefinitely),2010,2016,F,9-Jun,240,29-Apr-87,Arizona State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
2,10/08/10,Nets,Troy Murphy,strained lower back (out indefinitely),2002,2013,F-C,11-Jun,245,2-May-80,University of Notre Dame,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
3,10/12/10,Bucks,Darington Hobson,surgery on left hip (out for season),2012,2012,G,7-Jun,210,29-Sep-87,University of New Mexico,FALSE,FALSE,FALSE,FALSE,No Index,No Index
4,10/12/10,Kings,Samuel Dalembert,strained left groin (out indefinitely),2002,2015,C,11-Jun,255,10-May-81,Seton Hall University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
5,10/17/10,Bobcats,Dominic McGuire,stress fracture in left shin (out indefinitely),2008,2013,F,9-Jun,220,20-Oct-85,"California State University, Fresno",FALSE,FALSE,FALSE,FALSE,No Index,No Index
6,10/18/10,Warriors,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),2007,2016,F,9-Jun,220,7-Dec-82,"University of Nevada, Las Vegas",FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
7,10/19/10,Suns,Josh Childress,fractured right index finger (out indefinitely),2005,2014,G-F,8-Jun,210,20-Jun-83,Stanford University,FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
8,10/22/10,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2001,2017,F-G,8-Jun,218,19-Feb-80,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
9,10/25/10,Thunder,Nick Collison,left knee injury (out indefinitely),2005,2018,F,10-Jun,255,26-Oct-80,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
10,10/26/10,Heat,Mario Chalmers,sprained ankle (out indefinitely),2009,2018,G,2-Jun,190,19-May-86,University of Kansas,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
11,10/27/10,Bucks,Jon Brockman,sprained left ankle (DNP),2010,2012,F,7-Jun,255,20-Mar-87,University of Washington,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
12,10/27/10,Bucks,Luc Mbah a Moute,sprained right ankle (DNP),2009,2018,F,8-Jun,230,9-Sep-86,"University of California, Los Angeles",TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
13,10/28/10,Grizzlies,Zach Randolph,back injury (DTD),2002,2018,F-C,9-Jun,260,16-Jul-81,Michigan State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
14,10/28/10,Hawks,Maurice Evans,right knee inflammation (DTD),2002,2012,G,5-Jun,220,8-Nov-78,University of Texas at Austin,FALSE,FALSE,FALSE,FALSE,No Index,No Index
15,10/28/10,Spurs,Matt Bonner,sprained right ankle (DTD),2005,2016,F,10-Jun,235,5-Apr-80,University of Florida,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
16,10/29/10,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
17,10/30/10,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
18,11/02/10,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,14-Feb-78,University of Connecticut,FALSE,FALSE,FALSE,FALSE,No Index,No Index
19,11/02/10,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
20,11/03/10,Hawks,Jamal Crawford,turf toe (DNP),2001,2018,G,5-Jun,200,20-Mar-80,University of Michigan,FALSE,FALSE,FALSE,FALSE,No Index,No Index
21,11/03/10,Jazz,Jeremy Evans,sprained right wrist (DNP),2011,2016,F,9-Jun,200,24-Oct-87,Western Kentucky University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
22,11/03/10,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,14-Feb-78,University of Connecticut,FALSE,FALSE,FALSE,FALSE,No Index,No Index
23,11/03/10,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
24,11/03/10,Warriors,Brandan Wright,stomach virus (DTD),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
25,11/04/10,Blazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",2012,2016,G,5-Jun,190,20-Jun-89,University of Memphis,FALSE,TRUE,FALSE,FALSE,Dislocation,4575
26,11/05/10,Bucks,Andrew Bogut,migraine headache (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,FALSE,FALSE,FALSE,FALSE,No Index,No Index
27,11/05/10,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
28,11/05/10,Jazz,Jeremy Evans,sprained right ankle (DNP),2011,2016,F,9-Jun,200,24-Oct-87,Western Kentucky University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
29,11/06/10,Raptors,Sonny Weems,ankle injury (DTD),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
30,11/07/10,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
31,11/08/10,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
32,11/10/10,Clippers,Chris Kaman,sprained left ankle (DNP),2004,2016,C,Jul-00,265,28-Apr-82,Central Michigan University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
33,11/10/10,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
34,11/10/10,Timberwolves,Wayne Ellington,thigh injury (DTD),2010,2018,G,4-Jun,200,29-Oct-87,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
35,11/10/10,Clippers,Eric Gordon,sore left shoulder (DNP),2009,2018,G,4-Jun,215,25-Dec-88,Indiana University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
36,11/11/10,Spurs,James Anderson,stress fracture in right foot (out indefinitely),2011,2016,G-F,6-Jun,213,25-Mar-89,Oklahoma State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
37,11/11/10,Warriors,David Lee,placed on IL with infection in left elbow,1968,1969,F,7-Jun,225,31-Mar-42,University of San Francisco,FALSE,FALSE,FALSE,FALSE,No Index,No Index
38,11/11/10,Warriors,David Lee,placed on IL with infection in left elbow,2006,2017,F,9-Jun,245,29-Apr-83,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
39,11/12/10,Warriors,David Lee,surgery on left elbow to repair infection,1968,1969,F,7-Jun,225,31-Mar-42,University of San Francisco,FALSE,FALSE,FALSE,FALSE,No Index,No Index
40,11/12/10,Warriors,David Lee,surgery on left elbow to repair infection,2006,2017,F,9-Jun,245,29-Apr-83,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
41,11/12/10,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
42,11/13/10,Raptors,Reggie Evans,flu-like symptoms (DNP),2003,2015,F,8-Jun,245,18-May-80,University of Iowa,FALSE,FALSE,FALSE,FALSE,No Index,No Index
43,11/14/10,Rockets,Chase Budinger,sprained left ankle (DNP),2010,2016,F,7-Jun,209,22-May-88,University of Arizona,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
44,11/14/10,Timberwolves,Wayne Ellington,bruised left thigh (DNP),2010,2018,G,4-Jun,200,29-Oct-87,University of North Carolina,FALSE,FALSE,FALSE,FALSE,No Index,No Index
45,11/15/10,Clippers,Randy Foye,strained left hamstring (DNP),2007,2017,G,4-Jun,213,24-Sep-83,Villanova University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
46,11/15/10,Jazz,Raja Bell,strained left abductor (DNP),2001,2012,G,5-Jun,204,19-Sep-76,Florida International University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
