,Date,Team,name,Notes,year_start,year_end,position,height,weight,birth_date,college,Strains/Sprains,Dislocations,Arm Fractures,Leg Fractures,Injury Type,Estimated Medical Costs (2012)
0,10/3/2010,Bulls,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2003,2015,F-C,9-Jun,258,20-Nov-81,Duke University,0,0,1,0,Arm Fracture,7666
1,10/8/2010,Blazers,Jeff Ayres,torn ACL in right knee (out indefinitely),2010,2016,F,9-Jun,240,29-Apr-87,Arizona State University,0,0,0,0,No Index,No Index
2,10/8/2010,Nets,Troy Murphy,strained lower back (out indefinitely),2002,2013,F-C,11-Jun,245,2-May-80,University of Notre Dame,1,0,0,0,Strain/Sprain,3175
3,10/12/2010,Bucks,Darington Hobson,surgery on left hip (out for season),2012,2012,G,7-Jun,210,29-Sep-87,University of New Mexico,0,0,0,0,No Index,No Index
4,10/12/2010,Kings,Samuel Dalembert,strained left groin (out indefinitely),2002,2015,C,11-Jun,255,10-May-81,Seton Hall University,1,0,0,0,Strain/Sprain,3175
5,10/17/2010,Bobcats,Dominic McGuire,stress fracture in left shin (out indefinitely),2008,2013,F,9-Jun,220,20-Oct-85,"California State University, Fresno",0,0,0,0,No Index,No Index
6,10/18/2010,Warriors,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),2007,2016,F,9-Jun,220,7-Dec-82,"University of Nevada, Las Vegas",0,0,1,0,Arm Fracture,7666
7,10/19/2010,Suns,Josh Childress,fractured right index finger (out indefinitely),2005,2014,G-F,8-Jun,210,20-Jun-83,Stanford University,0,0,1,0,Arm Fracture,7666
8,10/22/2010,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2001,2017,F-G,8-Jun,218,19-Feb-80,University of Florida,0,0,0,0,No Index,No Index
9,10/25/2010,Thunder,Nick Collison,left knee injury (out indefinitely),2005,2018,F,10-Jun,255,26-Oct-80,University of Kansas,0,0,0,0,No Index,No Index
10,10/26/2010,Heat,Mario Chalmers,sprained ankle (out indefinitely),2009,2018,G,2-Jun,190,19-May-86,University of Kansas,1,0,0,0,Strain/Sprain,3175
11,10/27/2010,Bucks,Jon Brockman,sprained left ankle (DNP),2010,2012,F,7-Jun,255,20-Mar-87,University of Washington,1,0,0,0,Strain/Sprain,3175
12,10/27/2010,Bucks,Luc Mbah a Moute,sprained right ankle (DNP),2009,2018,F,8-Jun,230,9-Sep-86,"University of California, Los Angeles",1,0,0,0,Strain/Sprain,3175
13,10/28/2010,Grizzlies,Zach Randolph,back injury (DTD),2002,2018,F-C,9-Jun,260,16-Jul-81,Michigan State University,0,0,0,0,No Index,No Index
14,10/28/2010,Hawks,Maurice Evans,right knee inflammation (DTD),2002,2012,G,5-Jun,220,8-Nov-78,University of Texas at Austin,0,0,0,0,No Index,No Index
15,10/28/2010,Spurs,Matt Bonner,sprained right ankle (DTD),2005,2016,F,10-Jun,235,5-Apr-80,University of Florida,1,0,0,0,Strain/Sprain,3175
16,10/29/2010,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,0,0,0,0,No Index,No Index
17,10/30/2010,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,0,0,0,0,No Index,No Index
18,11/2/2010,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,14-Feb-78,University of Connecticut,0,0,0,0,No Index,No Index
19,11/2/2010,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,0,0,0,0,No Index,No Index
20,11/3/2010,Hawks,Jamal Crawford,turf toe (DNP),2001,2018,G,5-Jun,200,20-Mar-80,University of Michigan,0,0,0,0,No Index,No Index
21,11/3/2010,Jazz,Jeremy Evans,sprained right wrist (DNP),2011,2016,F,9-Jun,200,24-Oct-87,Western Kentucky University,1,0,0,0,Strain/Sprain,3175
22,11/3/2010,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,14-Feb-78,University of Connecticut,0,0,0,0,No Index,No Index
23,11/3/2010,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,4-Jan-83,Georgia Institute of Technology,0,0,0,0,No Index,No Index
24,11/3/2010,Warriors,Brandan Wright,stomach virus (DTD),2008,2018,F-C,10-Jun,210,5-Oct-87,University of North Carolina,0,0,0,0,No Index,No Index
25,11/4/2010,Blazers,Elliot Williams,"dislocated patella in right knee (surgery, out for season)",2012,2016,G,5-Jun,190,20-Jun-89,University of Memphis,0,1,0,0,Dislocation,4575
26,11/5/2010,Bucks,Andrew Bogut,migraine headache (DNP),2006,2018,C,Jul-00,260,28-Nov-84,University of Utah,0,0,0,0,No Index,No Index
27,11/5/2010,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,0,0,0,0,No Index,No Index
28,11/5/2010,Jazz,Jeremy Evans,sprained right ankle (DNP),2011,2016,F,9-Jun,200,24-Oct-87,Western Kentucky University,1,0,0,0,Strain/Sprain,3175
29,11/6/2010,Raptors,Sonny Weems,ankle injury (DTD),2009,2016,G-F,6-Jun,205,8-Jul-86,University of Arkansas,0,0,0,0,No Index,No Index
30,11/7/2010,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,0,0,0,0,No Index,No Index
31,11/8/2010,Hawks,Marvin Williams,bone bruise in right knee (DNP),2006,2018,F,9-Jun,237,19-Jun-86,University of North Carolina,0,0,0,0,No Index,No Index
