,Date,Team,name,Notes,year_start,year_end,position,height,weight,birth_date,college,Strains/Sprains,Dislocations,Arm Fractures,Leg Fractures,Injury Type,Estimated Medical Costs (2012)
<<<<<<< HEAD,,,,,,,,,,,,,,,,,
0,2010-10-03,Bulls,Carlos Boozer,fractured bone in right pinky finger (out indefinitely),2003,2015,F-C,9-Jun,258,1981-11-20,Duke University,FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
1,2010-10-08,Blazers,Jeff Ayres,torn ACL in right knee (out indefinitely),2010,2016,F,9-Jun,240,1987-04-29,Arizona State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
2,2010-10-08,Nets,Troy Murphy,strained lower back (out indefinitely),2002,2013,F-C,11-Jun,245,1980-05-02,University of Notre Dame,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
3,2010-10-12,Bucks,Darington Hobson,surgery on left hip (out for season),2012,2012,G,7-Jun,210,1987-09-29,University of New Mexico,FALSE,FALSE,FALSE,FALSE,No Index,No Index
4,2010-10-12,Kings,Samuel Dalembert,strained left groin (out indefinitely),2002,2015,C,11-Jun,255,1981-05-10,Seton Hall University,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
5,2010-10-17,Bobcats,Dominic McGuire,stress fracture in left shin (out indefinitely),2008,2013,F,9-Jun,220,1985-10-20,"California State University, Fresno",FALSE,FALSE,FALSE,FALSE,No Index,No Index
6,2010-10-18,Warriors,Lou Amundson,surgery to repair fractured right index finger (out indefinitely),2007,2016,F,9-Jun,220,1982-12-07,"University of Nevada, Las Vegas",FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
7,2010-10-19,Suns,Josh Childress,fractured right index finger (out indefinitely),2005,2014,G-F,8-Jun,210,1983-06-20,Stanford University,FALSE,FALSE,TRUE,FALSE,Arm Fracture,7666
8,2010-10-22,Heat,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),2001,2017,F-G,8-Jun,218,1980-02-19,University of Florida,FALSE,FALSE,FALSE,FALSE,No Index,No Index
9,2010-10-25,Thunder,Nick Collison,left knee injury (out indefinitely),2005,2018,F,10-Jun,255,1980-10-26,University of Kansas,FALSE,FALSE,FALSE,FALSE,No Index,No Index
10,2010-10-26,Heat,Mario Chalmers,sprained ankle (out indefinitely),2009,2018,G,2-Jun,190,1986-05-19,University of Kansas,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
11,2010-10-27,Bucks,Jon Brockman,sprained left ankle (DNP),2010,2012,F,7-Jun,255,1987-03-20,University of Washington,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
12,2010-10-27,Bucks,Luc Mbah a Moute,sprained right ankle (DNP),2009,2018,F,8-Jun,230,1986-09-09,"University of California, Los Angeles",TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
13,2010-10-28,Grizzlies,Zach Randolph,back injury (DTD),2002,2018,F-C,9-Jun,260,1981-07-16,Michigan State University,FALSE,FALSE,FALSE,FALSE,No Index,No Index
14,2010-10-28,Hawks,Maurice Evans,right knee inflammation (DTD),2002,2012,G,5-Jun,220,1978-11-08,University of Texas at Austin,FALSE,FALSE,FALSE,FALSE,No Index,No Index
15,2010-10-28,Spurs,Matt Bonner,sprained right ankle (DTD),2005,2016,F,10-Jun,235,1980-04-05,University of Florida,TRUE,FALSE,FALSE,FALSE,Strain/Sprain,3175
16,2010-10-29,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,1983-01-04,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
17,2010-10-30,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,1983-01-04,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
18,2010-11-02,Pistons,Richard Hamilton,sore right foot (DNP),2000,2013,G-F,6-Jun,185,1978-02-14,University of Connecticut,FALSE,FALSE,FALSE,FALSE,No Index,No Index
19,2010-11-02,Pistons,Will Bynum,sore right hamstring (DNP),2006,2015,G,Jun-00,185,1983-01-04,Georgia Institute of Technology,FALSE,FALSE,FALSE,FALSE,No Index,No Index
20,2010-11-03,Hawks,Jamal Crawford,turf toe (DNP),2001,2018,G,5-Jun,200,1980-03-20,University of Michigan,FALSE,FALSE,FALSE,FALSE,No Index,No Index
